"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Logout Test Description","604","completeLogoutFlow","Test Suite","Sat Nov 30 03:25:32 GMT 2024","passed","Sat Nov 30 03:25:33 GMT 2024","com.globant.app.tests.LogoutTest","Test","com.globant.app.tests.LogoutTest","completeLogoutFlow"
"Cart Test Description","1123","completeRemoveFlow","Test Suite","Sat Nov 30 03:25:25 GMT 2024","passed","Sat Nov 30 03:25:27 GMT 2024","com.globant.app.tests.CartTest","Test","com.globant.app.tests.CartTest","completeRemoveFlow"
"Purchase Description","1374","completePurchaseFlow","Test Suite","Sat Nov 30 03:25:18 GMT 2024","passed","Sat Nov 30 03:25:20 GMT 2024","com.globant.app.tests.PurchaseTest","Test","com.globant.app.tests.PurchaseTest","completePurchaseFlow"
